objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
hguvid1,,-Eg_yrpjmlY,,The Rebel,He Gets Us Youtube,"March 9, 2022",Video advertisement,,,,,YouTube,,Video,Video,eng,,
hguvid2,,94BqlDQ-Ppo,,Foot Washing,He Gets Us Youtube,"Febuary 11, 2024",Video advertisement,,,,,,,,,,,
